Developer,Total_Sales,Avg_Critic_Score,Avg_User_Score,Title_Count
Ea Vancouver,3.73,61.5,5.9,1
Blitz Games Studios,3.69,63.11,6.92,6
Ludia Inc.,3.69,71.0,7.27,8
Dc Studios,3.67,59.0,6.58,11
Caproduction,3.67,56.25,6.55,4
Slant Six,3.67,57.8,5.7,3
Dreamworks Interactive,3.64,89.0,8.8,2
Angel Studios,3.6,61.67,6.5,2
Office Create,3.58,70.0,8.0,1
Disney Interactive Studios,3.58,68.33,7.28,7
Torus Games,3.58,63.62,7.04,16
Scei,3.56,74.25,8.3,4
Hb Studios Multimedia,3.56,60.0,5.93,9
Codemasters Birmingham,3.55,73.71,5.89,3
Team Soho,3.54,72.0,6.8,1
Arika,3.53,65.22,7.26,9
Certain Affinity,3.51,89.0,7.9,1
"Majesco Games, Majesco",3.5,61.62,7.29,8
4J Studios,3.49,69.0,7.57,5
Neverland,3.47,66.8,7.7,14
Agenda,3.45,83.0,8.4,1
Grasshopper Manufacture,3.44,72.36,7.91,10
Ryu Ga Gotoku Studios,3.42,75.0,7.9,5
Ensemble Studios,3.39,81.43,8.19,7
Incinerator Games,3.39,61.86,6.84,3
2K Sports,3.35,72.71,6.61,8
Pivotal Games,3.34,57.45,7.01,5
Syn Sophia,3.31,74.5,7.85,2
Blue Tongue Entertainment,3.3,67.21,7.39,8
Eidos Montreal,3.29,86.25,7.83,2
505 Games,3.29,68.93,7.13,23
Snk Playmore,3.29,67.58,7.47,20
"Splash Damage, The Coalition",3.28,82.0,7.5,1
Sony Bend,3.26,76.0,8.14,5
"Irrational Games, 2K Marin",3.24,96.0,8.7,1
Junction Point,3.23,65.0,6.3,2
Genki,3.23,61.0,7.73,12
Oddworld Inhabitants,3.22,85.25,8.97,4
Creatures Inc.,3.21,63.33,7.47,3
Nex Entertainment,3.21,65.5,7.0,6
Atlus Co.,3.21,80.6,8.25,10
"Lexis Numerique, Virtual Toys",3.2,71.0,7.5,4
7 Studios,3.2,53.87,6.53,8
Firebrand Games,3.19,69.53,7.02,12
Visual Impact,3.18,63.64,7.21,13
Vigil Games,3.16,83.0,7.81,2
United Front Games,3.15,81.5,8.05,2
"Dimps Corporation, Sonic Team",3.12,82.0,8.5,1
Secret Level,3.12,58.0,6.23,7
Midway Studios - San Diego,3.11,59.5,6.1,4
"Dice, Danger Close",3.1,73.0,6.55,1
Ublart Montpellier,3.1,85.17,8.0,1
Racjin,3.1,62.38,7.38,12
Artefacts Studio,3.07,51.6,6.08,4
Mto,3.07,69.75,6.96,8
Team 17,3.07,63.58,6.91,17
Juice Games,3.02,68.0,7.33,3
Sanzaru Games,2.97,64.67,7.49,7
"Lucasarts, Bioware",2.96,85.0,5.9,1
Kaos Studios,2.93,72.0,6.6,2
Officecreate,2.89,61.0,5.3,1
