Publisher,Years_Active,First_Year,Last_Year,Total_Sales,Avg_Critic_Score,Title_Count
Nec Interchannel,12,1996,2008,0.78,71.0,8
Men-A-Vision,0,1981,1981,0.77,71.0,1
Pioneer Ldc,5,1996,2001,0.74,71.0,4
Gamebridge,1,2008,2009,0.73,56.5,1
Artdink,20,1994,2014,0.73,70.33,9
Nihon Falcom Corporation,4,2012,2016,0.73,72.57,7
Starfish,15,1997,2012,0.72,70.8,10
Quest,0,1995,1995,0.71,71.0,1
Data Age,1,1981,1982,0.71,71.0,2
Illusion Softworks,0,2004,2004,0.7,65.0,1
Home Entertainment Suppliers,4,2007,2011,0.67,70.0,2
Astragon,7,2009,2016,0.67,67.29,7
Wanadoo,4,2001,2005,0.65,68.8,4
Media Rings,8,1994,2002,0.65,73.67,3
Elf,1,1996,1997,0.64,71.0,2
Sting,6,2004,2010,0.64,70.22,7
Bigben Interactive,1,2015,2016,0.64,62.54,4
Universal Gamex,0,1982,1982,0.63,71.0,1
Seta Corporation,1,1995,1996,0.63,71.0,6
Prototype,9,2007,2016,0.63,71.0,22
Wizard Video Games,0,1982,1982,0.62,71.0,1
Aspyr,6,2003,2009,0.62,67.88,8
Tdk Core,7,2000,2007,0.62,69.6,5
Kadokawa Games,4,2012,2016,0.6,71.0,15
Foreign Media Games,0,2010,2010,0.6,69.22,9
Esp,5,1997,2002,0.59,70.6,5
Mumbo Jumbo,2,2006,2008,0.58,65.83,6
Nordcurrent,3,2007,2010,0.57,57.2,5
Asylum Entertainment,1,2010,2011,0.57,71.0,5
Cpg Products,0,1982,1982,0.54,71.0,1
Aq Interactive,2,2007,2009,0.53,74.4,5
Bps,3,1991,1994,0.52,71.0,2
Answer Software,0,1982,1982,0.5,71.0,1
Hect,2,1993,1995,0.5,71.0,3
Rebellion,1,2001,2002,0.49,45.5,2
Pack In Soft,0,1999,1999,0.48,71.0,1
Avalon Interactive,22,1982,2004,0.48,66.0,5
Popcorn Arcade,1,2007,2008,0.48,65.33,9
The Adventure Company,1,2008,2009,0.48,49.0,4
Swing! Entertainment,4,1998,2002,0.48,65.33,6
Ultravision,0,2007,2007,0.47,71.0,1
Activision Blizzard,0,2014,2014,0.47,87.0,1
Irem Software Engineering,14,1998,2012,0.46,69.75,12
Shogakukan,20,1995,2015,0.45,71.0,5
Angel Studios,4,1991,1995,0.44,71.0,3
Idea Factory International,2,2014,2016,0.44,71.29,7
Aksys Games,8,2008,2016,0.44,68.62,5
Tetris Online,0,2011,2011,0.43,74.0,1
Nec,1,1995,1996,0.43,71.0,3
Tyo,0,1998,1998,0.42,71.0,1
Electronic Arts Victor,0,1996,1996,0.42,71.0,2
Jack Of All Games,6,2005,2011,0.42,71.0,3
Playv,1,2009,2010,0.42,71.0,4
Valcon Games,4,2005,2009,0.42,71.57,6
Microids,14,2002,2016,0.42,68.18,9
Magical Company,0,1998,1998,0.41,71.0,1
Bitcomposer Games,2,2009,2011,0.41,64.2,3
Valusoft,6,2005,2011,0.4,71.0,4
Ncs,2,1996,1998,0.4,71.0,3
Mto,12,1998,2010,0.4,71.0,8
P2 Games,2,2009,2011,0.39,71.0,3
989 Sports,0,1999,1999,0.38,71.0,1
Blast! Entertainment Ltd,2,2007,2009,0.37,71.0,5
Graffiti,2,2008,2010,0.37,58.5,6
New,0,1995,1995,0.36,71.0,1
Hip Interactive,1,2004,2005,0.36,50.2,5
Magix,8,2001,2009,0.35,71.0,2
Rebellion Developments,1,2015,2016,0.35,63.33,2
Performance Designed Products,0,2009,2009,0.35,65.0,1
Time Warner Interactive,2,1994,1996,0.35,71.0,5
Itt Family Games,0,1982,1982,0.34,71.0,1
Starpath Corp.,0,1981,1981,0.33,71.0,1
Dsi Games,3,2005,2008,0.33,53.0,5
Yacht Club Games,1,2015,2016,0.33,86.25,2
U.S. Gold,1,1995,1996,0.33,71.0,4
Cave,5,2008,2013,0.33,71.0,10
Benesse,1,2007,2008,0.33,71.0,6
Evolved Games,7,2004,2011,0.33,49.88,4
Indie Games,0,2004,2004,0.32,63.33,3
Cokem Interactive,0,2007,2007,0.31,71.0,1
Cbs Electronics,0,1982,1982,0.31,71.0,1
Agatsuma Entertainment,9,2004,2013,0.31,70.67,3
Hackberry,3,2007,2010,0.31,71.0,7
Hamster Corporation,4,2002,2006,0.3,71.0,2
Ccp,13,2003,2016,0.3,71.0,2
Mad Catz,8,2004,2012,0.3,55.0,3
Neko Entertainment,3,2007,2010,0.3,71.0,6
Reef Entertainment,3,2009,2012,0.3,68.43,4
Wargaming.Net,0,2011,2011,0.29,80.0,1
Core Design Ltd.,1,1994,1995,0.29,71.0,2
Media Factory,1,2000,2001,0.29,71.0,2
